table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
上海黄金交易所交易行情,QT_GoldTradeMarket,17,SettlementVol,交收量,"decimal(18,4)",,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,18,SettleDirection,交收方向,varchar(20),,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,19,XGRQ,更新时间,datetime,否,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,20,JSID,JSID,bigint,否,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
上海黄金交易所交易行情,QT_GoldTradeMarket,最后修改日期: 2017-04-19,,,,,,"1.收录上海黄金交易所下黄金、白银、铂等金属标准化交易的每日盘后行情，包括开盘价、收盘价、最高价、最低价、成交量、成交额等信息
2.数据范围：2002年10月-至今
3.数据源：上海黄金交易所","TradeDate,DateType,TradeVariety",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,1,ID,ID,bigint,否,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,2,InfoSource,信息来源,varchar(50),,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,3,EndDate,截止日期,datetime,否,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,4,InfoPublTime,发布时间,datetime,否,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,5,CurrencyCode,货币,int,否,货币(CurrencyCode)与(CT_SystemConst)表中的DM字段关联，令LB = 1068，得到货币的具体描述：1000-美元，1100-港元，1110-印度卢比，1120-印度尼西亚卢比，1130-伊朗里亚尔，1140-波兰兹罗提，1150-匈牙利福林，1160-日本元，1161-欧洲日元(离岸)，1170-约旦第纳尔，1180-科威特第纳...,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
